x_px y_px
619.135 156.618
989.086 156.957
692.634 157.363
840.872 158.735
765.964 159.496
915.113 159.716
542.735 228.325
617.112 230.138
1067.596 230.436
988.144 233.865
469.792 303.383
541.153 304.839
616.355 305.022
1060.345 308.949
985.062 309.049
1139.279 309.434
471.632 377.281
545.971 379.014
618.156 379.197
982.433 383.124
1057.118 384.199
1134.520 384.713
471.914 450.454
545.526 451.164
616.980 452.520
979.704 457.379
1060.740 457.849
1131.048 460.176
471.194 523.744
617.231 524.031
543.733 524.413
687.603 524.641
760.147 525.618
831.000 527.419
903.511 527.713
977.807 529.615
1053.573 531.261
1133.804 534.304
689.947 592.789
471.846 594.383
616.000 595.529
760.120 596.494
542.558 597.616
832.468 598.557
903.417 600.367
977.000 603.549
1051.427 603.868
1125.921 606.962
471.581 665.291
685.848 667.550
542.635 669.315
757.271 669.333
830.941 670.124
612.673 671.923
903.629 672.937
1049.571 676.273
1123.085 678.349
979.571 678.518
612.456 738.685
685.445 739.469
827.755 742.359
536.156 744.756
758.323 746.194
974.800 746.757
901.154 749.724
1050.738 751.935
1083.058 808.050
684.267 810.667
756.246 811.152
827.614 813.651
610.732 814.719
974.129 820.447
903.000 821.153
