kind i j dark_ridge enhance
h 2 0 86.897 35.000
v 2 0 50.903 61.000
v 7 0 40.700 121.000
h 3 0 47.222 52.000
h 5 0 57.420 15.000
h 4 0 96.287 30.000
h 6 0 81.421 26.000
h 1 1 66.535 85.000
v 1 1 40.243 80.000
v 2 1 46.257 57.000
v 8 1 57.845 28.000
h 7 1 49.307 126.000
v 7 1 203.681 3.250
h 0 2 60.186 100.000
v 0 2 214.237 4.000
h 1 2 45.254 101.250
v 1 2 206.526 3.000
v 2 2 31.438 117.000
h 8 2 47.195 115.000
v 8 2 207.556 3.000
h 7 2 179.320 7.000
v 7 2 42.938 136.000
v 9 2 30.211 9.000
h 0 3 193.753 6.000
v 0 3 209.920 3.000
h 1 3 188.356 7.000
v 1 3 57.086 83.000
v 2 3 210.272 3.000
h 7 3 185.792 8.000
v 7 3 79.907 91.000
h 8 3 185.000 9.000
v 8 3 213.877 5.000
v 9 3 34.851 9.000
h 0 4 175.644 10.000
v 0 4 32.800 93.000
h 1 4 87.400 48.250
v 1 4 52.423 87.000
v 2 4 36.145 124.000
h 7 4 115.057 43.000
v 7 4 70.557 88.000
h 8 4 181.795 9.000
v 8 4 211.521 2.000
v 9 4 23.822 10.000
h 0 5 167.014 13.000
v 0 5 61.096 75.000
h 2 5 77.243 89.000
v 2 5 204.000 3.000
h 1 5 179.753 10.000
v 1 5 48.173 123.000
h 3 5 50.000 107.000
v 3 5 194.147 5.250
h 4 5 48.041 77.000
v 4 5 192.316 5.000
h 5 5 80.117 47.000
v 5 5 192.444 4.000
h 6 5 88.027 47.000
v 6 5 191.778 5.000
h 7 5 182.057 8.000
v 7 5 40.521 121.000
h 8 5 58.333 105.000
v 8 5 202.919 3.000
v 9 5 38.394 33.000
h 3 6 40.467 52.000
v 3 6 187.851 6.000
h 0 6 174.361 12.000
v 0 6 194.863 3.000
h 2 6 41.514 63.250
v 2 6 44.716 102.000
h 4 6 45.157 101.000
v 4 6 52.411 81.250
h 1 6 177.027 11.000
v 1 6 67.843 90.000
h 5 6 59.343 103.000
v 5 6 191.829 5.000
h 6 6 186.573 6.000
v 6 6 196.487 5.000
h 7 6 116.693 38.000
v 7 6 38.770 127.000
h 8 6 178.175 8.000
v 8 6 204.000 4.000
v 9 6 35.824 35.000
h 0 7 18.286 135.000
h 3 7 179.056 8.000
v 3 7 62.257 83.000
h 1 7 176.373 10.000
v 1 7 31.732 117.000
h 4 7 191.587 4.000
v 4 7 34.316 100.000
h 5 7 64.375 128.000
v 5 7 193.652 4.000
h 2 7 184.486 10.000
v 2 7 185.471 7.000
h 6 7 40.143 127.000
v 6 7 33.620 110.000
h 8 7 83.973 60.000
v 8 7 15.300 22.000
h 7 7 178.521 8.000
v 7 7 192.551 6.000
h 2 8 173.871 7.000
v 2 8 49.014 59.000
h 3 8 186.384 7.000
v 3 8 80.459 73.000
h 5 8 191.589 5.000
v 5 8 188.080 6.000
h 1 8 34.225 55.000
h 4 8 47.513 49.000
v 4 8 186.379 5.000
h 7 8 75.014 18.000
v 7 8 55.764 95.000
h 6 8 172.958 10.000
v 6 8 49.957 104.000
h 3 9 192.947 6.000
h 4 9 194.324 9.000
h 5 9 197.195 4.000
h 2 9 17.467 6.000
h 6 9 45.577 14.250
