i j src_x src_y dst_x dst_y
2.000 0.000 619.135 156.618 350.000 150.000
7.000 0.000 989.086 156.957 850.000 150.000
3.000 0.000 692.634 157.363 450.000 150.000
5.000 0.000 840.872 158.735 650.000 150.000
4.000 0.000 765.964 159.496 550.000 150.000
6.000 0.000 915.113 159.716 750.000 150.000
1.000 1.000 542.735 228.325 250.000 250.000
2.000 1.000 617.112 230.138 350.000 250.000
8.000 1.000 1067.596 230.436 950.000 250.000
7.000 1.000 988.144 233.865 850.000 250.000
0.000 2.000 469.792 303.383 150.000 350.000
1.000 2.000 541.153 304.839 250.000 350.000
2.000 2.000 616.355 305.022 350.000 350.000
8.000 2.000 1060.345 308.949 950.000 350.000
7.000 2.000 985.062 309.049 850.000 350.000
9.000 2.000 1139.279 309.434 1050.000 350.000
0.000 3.000 471.632 377.281 150.000 450.000
1.000 3.000 545.971 379.014 250.000 450.000
2.000 3.000 618.156 379.197 350.000 450.000
7.000 3.000 982.433 383.124 850.000 450.000
8.000 3.000 1057.118 384.199 950.000 450.000
9.000 3.000 1134.520 384.713 1050.000 450.000
0.000 4.000 471.914 450.454 150.000 550.000
1.000 4.000 545.526 451.164 250.000 550.000
2.000 4.000 616.980 452.520 350.000 550.000
7.000 4.000 979.704 457.379 850.000 550.000
8.000 4.000 1060.740 457.849 950.000 550.000
9.000 4.000 1131.048 460.176 1050.000 550.000
0.000 5.000 471.194 523.744 150.000 650.000
2.000 5.000 617.231 524.031 350.000 650.000
1.000 5.000 543.733 524.413 250.000 650.000
3.000 5.000 687.603 524.641 450.000 650.000
4.000 5.000 760.147 525.618 550.000 650.000
5.000 5.000 831.000 527.419 650.000 650.000
6.000 5.000 903.511 527.713 750.000 650.000
7.000 5.000 977.807 529.615 850.000 650.000
8.000 5.000 1053.573 531.261 950.000 650.000
9.000 5.000 1133.804 534.304 1050.000 650.000
3.000 6.000 689.947 592.789 450.000 750.000
0.000 6.000 471.846 594.383 150.000 750.000
2.000 6.000 616.000 595.529 350.000 750.000
4.000 6.000 760.120 596.494 550.000 750.000
1.000 6.000 542.558 597.616 250.000 750.000
5.000 6.000 832.468 598.557 650.000 750.000
6.000 6.000 903.417 600.367 750.000 750.000
7.000 6.000 977.000 603.549 850.000 750.000
8.000 6.000 1051.427 603.868 950.000 750.000
9.000 6.000 1125.921 606.962 1050.000 750.000
0.000 7.000 471.581 665.291 150.000 850.000
3.000 7.000 685.848 667.550 450.000 850.000
1.000 7.000 542.635 669.315 250.000 850.000
4.000 7.000 757.271 669.333 550.000 850.000
5.000 7.000 830.941 670.124 650.000 850.000
2.000 7.000 612.673 671.923 350.000 850.000
6.000 7.000 903.629 672.937 750.000 850.000
8.000 7.000 1049.571 676.273 950.000 850.000
9.000 7.000 1123.085 678.349 1050.000 850.000
7.000 7.000 979.571 678.518 850.000 850.000
2.000 8.000 612.456 738.685 350.000 950.000
3.000 8.000 685.445 739.469 450.000 950.000
5.000 8.000 827.755 742.359 650.000 950.000
1.000 8.000 536.156 744.756 250.000 950.000
4.000 8.000 758.323 746.194 550.000 950.000
7.000 8.000 974.800 746.757 850.000 950.000
6.000 8.000 901.154 749.724 750.000 950.000
8.000 8.000 1050.738 751.935 950.000 950.000
3.000 9.000 684.267 810.667 450.000 1050.000
4.000 9.000 756.246 811.152 550.000 1050.000
5.000 9.000 827.614 813.651 650.000 1050.000
2.000 9.000 610.732 814.719 350.000 1050.000
7.000 9.000 974.129 820.447 850.000 1050.000
6.000 9.000 903.000 821.153 750.000 1050.000
